timestamp_utc,run_id,source_run_id,experiment,run_name,evaluation,dataset,backbone,method,seed,epochs,latency_p50_ms,latency_p95_ms,peak_memory_mb,images,srcc,plcc,srcc_per_reference,images_per_second,milliseconds_per_image,head_size_mb,model_parameter_size_mb,config_path
2026-09-01T17:40:03.638889+00:00,942bb6f93b194efda30550027f65120f,,conditioned-iqa-performance,p1-clean-multi-interaction-s0,validation,aigciqa2023,clip-base,interaction,0,5,3.068,3.112,364.7,480,0.7893161428652032,0.8210019469261169,,8405.899134394043,0.11896407320762921,2.0195350646972656,329.31836318969727,configs/text_conditioning/24_clean_multi_interaction.yaml
2026-09-01T17:40:03.638914+00:00,942bb6f93b194efda30550027f65120f,,conditioned-iqa-performance,p1-clean-multi-interaction-s0,validation,kadid10k,clip-base,interaction,0,5,3.068,3.112,364.7,2000,0.8325094593421939,0.8474941849708557,,8405.899134394043,0.11896407320762921,2.0195350646972656,329.31836318969727,configs/text_conditioning/24_clean_multi_interaction.yaml
2026-09-01T17:40:03.638919+00:00,942bb6f93b194efda30550027f65120f,,conditioned-iqa-performance,p1-clean-multi-interaction-s0,validation,spaq,clip-base,interaction,0,5,3.068,3.112,364.7,2225,0.8786556216724849,0.8871930837631226,,8405.899134394043,0.11896407320762921,2.0195350646972656,329.31836318969727,configs/text_conditioning/24_clean_multi_interaction.yaml
2026-09-01T17:42:56.414731+00:00,e84675ff576540ad9d1e177e70069588,942bb6f93b194efda30550027f65120f,conditioned-iqa-external-eval,external-p1-clean-multi-interaction-s0,held_out_test,tid2013,clip-base,interaction,,5,3.56,4.097,349.3,3000,0.6587933678940393,0.6971802115440369,,448.16459708780604,2.2313230596482754,2.0195350646972656,329.31836318969727,configs/text_conditioning/24_clean_multi_interaction.yaml
2026-09-01T17:42:56.414760+00:00,e84675ff576540ad9d1e177e70069588,942bb6f93b194efda30550027f65120f,conditioned-iqa-external-eval,external-p1-clean-multi-interaction-s0,held_out_test,csiq,clip-base,interaction,,5,3.56,4.097,349.3,866,0.8265693322951679,0.832969069480896,,318.4213428205158,3.1404930057206273,2.0195350646972656,329.31836318969727,configs/text_conditioning/24_clean_multi_interaction.yaml
2026-09-01T17:42:56.414768+00:00,e84675ff576540ad9d1e177e70069588,942bb6f93b194efda30550027f65120f,conditioned-iqa-external-eval,external-p1-clean-multi-interaction-s0,held_out_test,cid2013,clip-base,interaction,,5,3.56,4.097,349.3,474,0.6908401868803463,0.7345457077026367,,136.97840028812374,7.300421072932487,2.0195350646972656,329.31836318969727,configs/text_conditioning/24_clean_multi_interaction.yaml
2026-09-01T17:42:56.414774+00:00,e84675ff576540ad9d1e177e70069588,942bb6f93b194efda30550027f65120f,conditioned-iqa-external-eval,external-p1-clean-multi-interaction-s0,held_out_test,koniq10k,clip-base,interaction,,5,3.56,4.097,349.3,10073,0.6196017548405908,0.6803231835365295,,404.29540501357843,2.473438944888366,2.0195350646972656,329.31836318969727,configs/text_conditioning/24_clean_multi_interaction.yaml
2026-09-01T17:42:56.414780+00:00,e84675ff576540ad9d1e177e70069588,942bb6f93b194efda30550027f65120f,conditioned-iqa-external-eval,external-p1-clean-multi-interaction-s0,held_out_test,clive,clip-base,interaction,,5,3.56,4.097,349.3,1162,0.7460744558507634,0.7883726358413696,,334.2407021598613,2.991855849805264,2.0195350646972656,329.31836318969727,configs/text_conditioning/24_clean_multi_interaction.yaml
2026-09-01T17:42:56.414783+00:00,e84675ff576540ad9d1e177e70069588,942bb6f93b194efda30550027f65120f,conditioned-iqa-external-eval,external-p1-clean-multi-interaction-s0,held_out_test,agiqa3k,clip-base,interaction,,5,3.56,4.097,349.3,2982,0.7074811634480151,0.7560119032859802,,469.77970567927184,2.1286573002425957,2.0195350646972656,329.31836318969727,configs/text_conditioning/24_clean_multi_interaction.yaml
2026-09-01T17:42:56.414788+00:00,e84675ff576540ad9d1e177e70069588,942bb6f93b194efda30550027f65120f,conditioned-iqa-external-eval,external-p1-clean-multi-interaction-s0,held_out_test,gfiqa20k,clip-base,interaction,,5,3.56,4.097,349.3,19998,0.6748921979237212,0.6830556392669678,,490.4449776860403,2.0389647065366683,2.0195350646972656,329.31836318969727,configs/text_conditioning/24_clean_multi_interaction.yaml
2026-09-01T17:42:56.414791+00:00,e84675ff576540ad9d1e177e70069588,942bb6f93b194efda30550027f65120f,conditioned-iqa-external-eval,external-p1-clean-multi-interaction-s0,held_out_test,pipal,clip-base,interaction,,5,3.56,4.097,349.3,24200,0.43186755453102255,0.4222971498966217,,496.0135187975909,2.0160740828680352,2.0195350646972656,329.31836318969727,configs/text_conditioning/24_clean_multi_interaction.yaml
2026-09-01T17:43:37.349901+00:00,665dd5cdd93f4b9cac4a4f7f465345e1,942bb6f93b194efda30550027f65120f,conditioned-iqa-external-eval,external-p1-clean-multi-interaction-s0-uhd-test,held_out_test,uhdiqa,clip-base,interaction,,5,3.106,3.211,349.3,900,0.2759335256159928,0.38568422198295593,,52.1946120524972,19.159065671265125,2.0195350646972656,329.31836318969727,configs/text_conditioning/24_clean_multi_interaction.yaml
2026-09-01T17:45:57.049013+00:00,18d3fb7d804f4b82ac4b2dc778be3471,,conditioned-iqa-performance,m1-mdtvsfa-mean-baseline-s0,validation,aigciqa2023,clip-base,baseline,0,5,3.079,3.106,358.4,480,0.7802222448882156,0.7858189940452576,,8473.109511894625,0.11802042669178196,0.7578392028808594,328.05666732788086,configs/text_conditioning/25_clean_multi_mdtvsfa_baseline.yaml
2026-09-01T17:45:57.049040+00:00,18d3fb7d804f4b82ac4b2dc778be3471,,conditioned-iqa-performance,m1-mdtvsfa-mean-baseline-s0,validation,kadid10k,clip-base,baseline,0,5,3.079,3.106,358.4,2000,0.8130975877900839,0.8184307217597961,,8473.109511894625,0.11802042669178196,0.7578392028808594,328.05666732788086,configs/text_conditioning/25_clean_multi_mdtvsfa_baseline.yaml
2026-09-01T17:45:57.049046+00:00,18d3fb7d804f4b82ac4b2dc778be3471,,conditioned-iqa-performance,m1-mdtvsfa-mean-baseline-s0,validation,spaq,clip-base,baseline,0,5,3.079,3.106,358.4,2225,0.8872611610852249,0.8935371041297913,,8473.109511894625,0.11802042669178196,0.7578392028808594,328.05666732788086,configs/text_conditioning/25_clean_multi_mdtvsfa_baseline.yaml
2026-09-01T17:48:38.005425+00:00,fbdc7a0a15204e77a519f2dce8dcfb48,18d3fb7d804f4b82ac4b2dc778be3471,conditioned-iqa-external-eval,external-m1-mdtvsfa-mean-baseline-s0,held_out_test,tid2013,clip-base,baseline,,5,3.135,4.008,347.4,3000,0.6760897777112985,0.7209662199020386,,450.2316749035275,2.2210787373284497,0.7578392028808594,328.05666732788086,configs/text_conditioning/25_clean_multi_mdtvsfa_baseline.yaml
2026-09-01T17:48:38.005449+00:00,fbdc7a0a15204e77a519f2dce8dcfb48,18d3fb7d804f4b82ac4b2dc778be3471,conditioned-iqa-external-eval,external-m1-mdtvsfa-mean-baseline-s0,held_out_test,csiq,clip-base,baseline,,5,3.135,4.008,347.4,866,0.7615405055765795,0.8076080679893494,,319.814505738815,3.12681251805594,0.7578392028808594,328.05666732788086,configs/text_conditioning/25_clean_multi_mdtvsfa_baseline.yaml
2026-09-01T17:48:38.005456+00:00,fbdc7a0a15204e77a519f2dce8dcfb48,18d3fb7d804f4b82ac4b2dc778be3471,conditioned-iqa-external-eval,external-m1-mdtvsfa-mean-baseline-s0,held_out_test,cid2013,clip-base,baseline,,5,3.135,4.008,347.4,474,0.6317249247506597,0.6376916766166687,,134.40793926586045,7.440036693234233,0.7578392028808594,328.05666732788086,configs/text_conditioning/25_clean_multi_mdtvsfa_baseline.yaml
